"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Term Loans - Others","","","","","","","","","0","0"
"Deferred Payment Liabilities","","","","","","","","","0","0"
"Deposits","","","","","","","","","0","0"
"Loans and Payments from Related Parties","","","","","","","","","0","0"
"Loans from Associate Companies","","","","","","","","","0","0"
"Loans from Subsidiary Companies","","","","","","","","","0","0"
"Loans from Joint Venture Companies","","","","","","","","","0","0"
"Loans from Holding Company","","","","","","","","","0","0"
"Loans from Controlled Special Purpose Entities","","","","","","","","","0","0"
"Loans from Other Related Parties","","","","","","","","","0","0"
"Other Loans from Banks","","","","","","","","","0","0"
"Cash Credit Facilities","","","","","","","","","0","0"
"Packing Credit Facilities","","","","","","","","","0","0"
"Working Capital Facilities from Banks","","","","","","","","","0","0"
"Other Buyers Credit Arrangements","","","","","","","","","0","0"
"Other Secured Loans from Banks","","","","","","","","","0","0"
"Other Unsecured Loans From Other Parties","","","","","","","","","0","0"
"Other Unsecured Loans","","","","","","","","","0","0"
"Lease Liabilities ST","0","0","0","0","0.6","0.1","0.6","0.1","0.6","0.7"
"Trade Payables","254.3","392","379.3","698.9","764.4","785.9","1059.5","1597","1981.6","2231.2"
"Sundry Creditors:","254.3","392","379.3","698.9","764.4","785.9","1059.5","1597","1981.6","2231.2"
"Due to Micro, Small and Medium Enterprises","0","0","0","0","1.1","5.7","8.2","15.2","13.1","10.5"
"Others","254.3","392","379.3","698.9","763.3","780.2","1051.2","1581.8","1968.5","2220.7"
"Other Current Liabilities","104.1","78.7","137.3","213.8","131.7","46.9","70.9","97.2","131.6","157.2"
"Current Maturities of Long-Term Borrowings","52.1","25.5","101.8","148","106.6","0","0","0","0","0"
"Current maturities of long-term borrowings-Secured","0","25.5","101.8","148","106.6","0","0","0","0","0"
"Bonds","0","0","0","0","0","0","0","0","0","0"
"Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Non Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Debentures","0","0","0","0","0","0","0","0","0","0"
"Term Loans","0","25.5","0","0","106.6","0","0","0","0","0"
"From Banks","0","25.5","0","0","106.6","0","0","0","0","0"
"Others","0","25.5","0","0","106.6","0","0","0","0","0"
"From Financial Institutions","0","0","0","0","0","0","0","0","0","0"
"From Government","0","0","0","0","0","0","0","0","0","0"
"From other parties","0","0","0","0","0","0","0","0","0","0"
"Deferred Payment Liabilities","0","0","0","0","0","0","0","0","0","0"
"Deposits","0","0","0","0","0","0","0","0","0","0"
"Loans and Payments from Related Parties","0","0","0","0","0","0","0","0","0","0"
"Associate Companies","0","0","0","0","0","0","0","0","0","0"
"Subsidiary Companies","0","0","0","0","0","0","0","0","0","0"
"Joint Venture Companies","0","0","0","0","0","0","0","0","0","0"
"Holding Company","0","0","0","0","0","0","0","0","0","0"
"Controlled Special Purpose Entities","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Other Loans and Advances","0","0","101.8","148","0","0","0","0","0","0"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"-Cash Credit","0","0","0","0","0","0","0","0","0","0"
"-Working Capital Facilities","0","0","0","0","0","0","0","0","0","0"
"-Packing Credit","0","0","0","0","0","0","0","0","0","0"
"-Others","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","101.8","148","0","0","0","0","0","0"
"Current maturities of long-term borrowings-Unsecured","52.1","0","0","0","0","0","0","0","0","0"
"Bonds","0","0","0","0","0","0","0","0","0","0"
"Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Non Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Debentures","0","0","0","0","0","0","0","0","0","0"
"Term Loans","0","0","0","0","0","0","0","0","0","0"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"From Financial Institutions","0","0","0","0","0","0","0","0","0","0"
"From Government","0","0","0","0","0","0","0","0","0","0"
"From other parties","0","0","0","0","0","0","0","0","0","0"
"Deferred Payment Liabilities","0","0","0","0","0","0","0","0","0","0"
"Deposits","0","0","0","0","0","0","0","0","0","0"
"Loans and Payments from Related Parties","0","0","0","0","0","0","0","0","0","0"
"Associate Companies","0","0","0","0","0","0","0","0","0","0"
"Subsidiary Companies","0","0","0","0","0","0","0","0","0","0"
"Joint Venture Companies","0","0","0","0","0","0","0","0","0","0"
"Holding Company","0","0","0","0","0","0","0","0","0","0"
"Controlled Special Purpose Entities","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Other Loans and Advances","52.1","0","0","0","0","0","0","0","0","0"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"-Cash Credit","0","0","0","0","0","0","0","0","0","0"
"-Working Capital Facilities","0","0","0","0","0","0","0","0","0","0"
"-Packing Credit","0","0","0","0","0","0","0","0","0","0"
"-Others","0","0","0","0","0","0","0","0","0","0"
"Others","52.1","0","0","0","0","0","0","0","0","0"
"Interest accrued but not due on borrowings","5.9","5.5","9.5","19.8","2.4","1.2","1.3","3.8","19","3.2"
