"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Net profit from Ordinary Activities/Discontinued Operations After Tax","","20.1","31.1","27.5","43.8","29.3","29.1","49.9","38.8","40.7","35.9","42.7","47","26.7","12.9","61.7","52.1","59.8","83.3","60.8","21.9","102.6","148.8","134.4","168.4","146.1","127.9","176.6","120.7","150.2","169.2","201.8","193.6","202.9","165.5","170.4","193.2","53.8","217","293.1","237.2","301.5","310","354.4"
"Extraordinary items","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Extraordinary Income","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Extraordinary Expenses","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Net Profit after tax for the Period","21.9","20.1","31.1","27.5","43.8","29.3","29.1","49.9","38.8","40.7","35.9","42.7","47","26.7","12.9","61.7","52.1","59.8","83.3","60.8","21.9","102.6","148.8","134.4","168.4","146.1","127.9","176.6","120.7","150.2","169.2","201.8","193.6","202.9","165.5","170.4","193.2","53.8","217","293.1","237.2","301.5","310","354.4"
"Minority interest After Net Profit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","4.7","9","4","5.1","10.5","16.7","15.2","21.1","0","0","13.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Net Profit after taxes, minority interest and share of Profit/(Loss) of associates","21.9","20.1","31.1","27.5","43.8","29.3","29.1","49.9","38.8","40.7","35.9","42.7","47","26.7","12.9","61.7","51.8","55.1","74.3","56.8","16.8","92.1","132","119.2","147.4","146.1","127.9","163","120.7","150.2","169.2","201.8","193.6","202.9","165.5","170.4","193.2","53.8","217","293.1","237.2","301.5","310","354.4"
"Owners of the Company","","","","","","","","","","0","0","0","0","0","12.9","61.7","51.8","55.1","74.3","56.8","","92.1","","","147.4","146.1","127.9","163","120.7","150.2","169.2","201.8","193.6","202.9","165.5","170.4","193.2","0","217","293.1","0","301.5","310","354.4"
"Non-Controlling Interest","","","","","","","","","","0","0","0","0","0","0","0","0.4","4.7","9","4","16.8","10.5","132","119.2","21.1","0","0","13.6","0","0","0","0","0","0","0","0","0","53.8","0","0","237.2","0","0","0"
"Other Comprehensive Income","","0","0","0","0","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","0.9","0.2","0.2","0.2","8.3","2.2","0","0","-1.5","-0.4","-0.5","-0.4","2.7","0.4","0.3","0.3","2.2","-10.3","2.5","-2.1","-5.8","10","5.8","-4.7","-8.7","5.8","-19.3","23.1","-24.2","18.8","-6.7","-4.3","27.3"
"Owners of the Company","","","","","","","","","","0","0","0","0","0","0.2","8.3","2.2","0","0","-1.5","5.1","-0.5","16.7","15.2","0.4","0.3","0.3","2.2","-10.3","2.5","-2.1","-5.8","10","5.8","-4.7","-8.7","5.8","0","23.1","-24.2","0","-6.7","-4.3","27.3"
"Non-Controlling Interest","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-0.4","0","-0.4","2.7","0","0","0","0.2","0","0","0","0","0","0","0","0","0","-19.3","0","0","18.8","0","0","0"
"Total Comprehensive Income","","0","0","0","0","29.3","29","49.8","38.8","40.6","35.8","43.5","47.2","26.9","13","70","53.9","55.1","74.2","55.4","16.4","91.6","131.6","121.9","147.7","146.4","128.2","165.2","110.4","152.7","167.1","196","203.6","208.7","160.8","161.7","199","34.5","240","268.9","256","294.9","305.7","381.6"
"Owners of the Company","","","","","","","","","","0","0","0","0","0","13","70","53.9","55.1","74.2","55.4","0","91.6","0","0","147.7","146.4","128.2","165.2","110.4","152.7","167.1","196","203.6","208.7","160.8","161.7","199","0","240","268.9","0","294.9","305.7","381.6"
"Non-Controlling Interest","","","","","","","","","","0","0","0","0","0","0","0","0.4","4.7","9","4","16.4","10.5","131.6","121.9","21","0","0","13.8","0","0","0","0","0","0","0","0","0","34.5","0","0","256","0","0","0"
"Equity","","23.4","23.4","23.4","23.4","23.6","23.6","23.6","23.4","23.6","23.7","23.7","23.7","23.7","23.7","23.9","24.3","24.3","24.9","24.9","24.9","24.9","25","25","25","55.4","50","50.1","55.4","55.4","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5"
"Face Value","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"EPS before Exceptional/Extraordinary items-Basic","0.9","15.5","13.3","15","18.6","12.5","12.4","21.2","16.4","17.3","15.2","18","19.8","11.2","5.4","26","21.5","24.7","33.8","22.9","6.8","37","10.6","9.6","11.8","5.9","4.6","6.5","4.8","6","6.8","7.3","7","7.3","6","6.1","7","1.9","7.8","10.6","8.6","10.9","11.2","12.8"
"EPS before Exceptional/Extraordinary items-Diluted","","15.5","13.3","15","18.1","12.2","12.1","20.7","16.1","16.9","14.9","17.7","19.4","11","5.3","25.7","20.9","23.9","33.5","22.6","6.7","36.8","10.5","9.5","11.8","5.3","4.6","6.5","4.4","5.4","6.1","7.3","7","7.3","6","6.1","7","1.9","7.8","10.6","8.6","10.9","11.2","12.8"
"EPS after Exceptional/Extraordinary items-Basic","","8.6","13.3","11.7","18.6","12.5","12.4","21.2","16.4","17.3","15.2","18","19.8","11.2","5.4","26","21.5","24.7","33.8","22.9","6.8","37","10.6","9.6","11.8","5.9","4.6","6.5","4.8","6","6.8","7.3","7","7.3","6","6.1","7","1.9","7.8","10.6","8.6","10.9","11.2","12.8"
"EPS after Exceptional/Extraordinary items-Diluted","","8.6","13.3","11.7","18.1","12.2","12.1","20.7","16.1","16.9","14.9","17.7","19.4","11","5.3","25.7","20.9","23.9","33.5","22.6","6.7","36.8","10.5","9.5","11.8","5.3","4.6","6.5","4.4","5.4","6.1","7.3","7","7.3","6","6.1","7","1.9","7.8","10.6","8.6","10.9","11.2","12.8"
"Debt Equity Ratio","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0","0.2","0.2","0.2","0","-0.1","-0.3"
"Debt Service Coverage Ratio","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9","1.1","0","3.9","5.9","3.8","0","5.4","8.2"
"Interest Service Coverage Ratio","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","10.1","0","8.6","12.1","10.3","0","13.3","15.4"
